OurName,OurCode,InvName,InvCode,Dest
Sunshine Rhodes,RH73,Sunshine Rhodes,52988,Rhodos
Happy Days,RH58,Happy Days,29379,Rhodos
Mitsis Roda Beach Resort,KO62,Mitsis Roda Beach Resort & Spa,27669,Korfu
Summertime Village,KO75,Summertime Apartments,46475,Korfu
Lutania Beach,R111,Lutania Beach,8583,Rhodos
Dolphin Bay Holiday Resort,E167,Dessole Dolphin Bay Resort,36829,Kréta
Evi,R166,Evi,27706,Rhodos
Alkyon,K149,Alkyon,21090,Korfu
Blue Sea Beach Resort,R113,Blue Sea Beach Resort,7981,Rhodos
Marathon,RH24,Marathon,29181,Rhodos
Kamari Beach,RH50,Kamari Beach,21462,Rhodos
Malia Bay,E298,Malia Bay,8599,Kréta
Avra Beach Resort,RH49,Avra Beach,7942,Rhodos
Loutanis,R106,Loutanis,8576,Rhodos
Blue Bay Beach Hotel,RH90,Labranda Blue Bay Beach,7965,Rhodos
Nirvana Beach,RH05,Nirvana Beach,21860,Rhodos
Astir Palace,ZA55,Astir Palace,32025,Zakynthos
Admiral Hotel,Z111,Admiral,21281,Zakynthos
Niriides Beach,RH47,Niriides Beach,25813,Rhodos
Sea Bird,KO17,Sea Bird,9060,Korfu
Galini Hotel,E168,Galini,8210,Kréta
Gloria Maris,ZA60,Gloria Maris,8233,Zakynthos
Aquis Sandy Beach,KO40,Aquis Sandy Beach,29107,Korfu
Mitsis Rodos Maris,RH65,Mitsis Rodos Maris,26405,Rhodos
Princess Flora,RH43,Princess Flora,21730,Rhodos
Ipsos Beach,K158,Ipsos Beach,8381,Korfu
Livadi Nafsika,K106,Livadi Nafsika,8555,Korfu
Irene Palace,RH61,Irene Palace,8384,Rhodos
Royal Belvedere,KR38,Royal Belvedere,7566,Kréta
Golden Beach,KR58,Golden Beach,8236,Kréta
Mareblue Neptuno Beach Resort,KR55,Neptuno Beach,58603,Kréta
Zante Imperial,ZA52,Zante Imperial,8567,Zakynthos
Delfinia,KO44,Delfinia,8082,Korfu
Bali Beach Village,KR83,Bali Beach,7947,Kréta
Stella Village,E285,Stella Village,9122,Kréta
Semiramis Village,KR56,Semiramis Village,9067,Kréta
