Name,Code,Departure,Arrival,Airport,Destinaion,MealType,Price
Filerimos,R133,2017-05-21,2017-05-31,"Praha, Václav Havel",Rhodos,Snídaně,"12150,00"
Filerimos,R133,2017-05-21,2017-05-31,"Praha, Václav Havel",Rhodos,Polopenze,"13350,00"
Filerimos,R133,2017-05-21,2017-05-31,"Praha, Václav Havel",Rhodos,All inclusive,"14850,00"
Filerimos,R133,2017-05-21,2017-06-03,"Praha, Václav Havel",Rhodos,Snídaně,"13390,00"
Filerimos,R133,2017-05-21,2017-06-03,"Praha, Václav Havel",Rhodos,Polopenze,"14990,00"
Filerimos,R133,2017-05-21,2017-06-03,"Praha, Václav Havel",Rhodos,All inclusive,"16890,00"
Filerimos,R133,2017-05-25,2017-05-31,"Praha, Václav Havel",Rhodos,Snídaně,"10690,00"
Filerimos,R133,2017-05-25,2017-05-31,"Praha, Václav Havel",Rhodos,Polopenze,"11390,00"
Filerimos,R133,2017-05-25,2017-05-31,"Praha, Václav Havel",Rhodos,All inclusive,"12290,00"
Filerimos,R133,2017-05-25,2017-06-03,"Praha, Václav Havel",Rhodos,Snídaně,"11890,00"
Filerimos,R133,2017-05-25,2017-06-03,"Praha, Václav Havel",Rhodos,Polopenze,"12990,00"
Filerimos,R133,2017-05-25,2017-06-03,"Praha, Václav Havel",Rhodos,All inclusive,"14350,00"
Filerimos,R133,2017-05-25,2017-06-08,"Praha, Václav Havel",Rhodos,Snídaně,"14950,00"
Filerimos,R133,2017-05-25,2017-06-08,"Praha, Václav Havel",Rhodos,Polopenze,"16750,00"
Filerimos,R133,2017-05-25,2017-06-08,"Praha, Václav Havel",Rhodos,All inclusive,"18890,00"
Filerimos,R133,2017-06-01,2017-06-04,"Praha, Václav Havel",Rhodos,Snídaně,"9690,00"
Filerimos,R133,2017-06-01,2017-06-04,"Praha, Václav Havel",Rhodos,Polopenze,"10090,00"
Filerimos,R133,2017-06-01,2017-06-04,"Praha, Václav Havel",Rhodos,All inclusive,"10550,00"
Filerimos,R133,2017-06-01,2017-06-15,"Praha, Václav Havel",Rhodos,All inclusive,"29650,00"
Filerimos,R133,2017-06-01,2017-06-15,"Praha, Václav Havel",Rhodos,Snídaně,"20650,00"
Filerimos,R133,2017-06-01,2017-06-15,"Praha, Václav Havel",Rhodos,Polopenze,"24750,00"
Filerimos,R133,2017-06-02,2017-06-09,Brno,Rhodos,Snídaně,"11990,00"
Filerimos,R133,2017-06-02,2017-06-09,Brno,Rhodos,Polopenze,"12890,00"
Filerimos,R133,2017-06-02,2017-06-09,Brno,Rhodos,All inclusive,"13950,00"
Filerimos,R133,2017-06-03,2017-06-10,"Praha, Václav Havel",Rhodos,Snídaně,"11290,00"
Filerimos,R133,2017-06-03,2017-06-10,"Praha, Václav Havel",Rhodos,Polopenze,"12150,00"
Filerimos,R133,2017-06-03,2017-06-10,"Praha, Václav Havel",Rhodos,All inclusive,"13190,00"
Filerimos,R133,2017-06-04,2017-06-18,"Praha, Václav Havel",Rhodos,All inclusive,"29650,00"
Filerimos,R133,2017-06-04,2017-06-18,"Praha, Václav Havel",Rhodos,Snídaně,"20650,00"
Filerimos,R133,2017-06-04,2017-06-18,"Praha, Václav Havel",Rhodos,Polopenze,"24750,00"
Filerimos,R133,2017-06-05,2017-06-12,Brno,Rhodos,Snídaně,"11990,00"
Filerimos,R133,2017-06-05,2017-06-12,Brno,Rhodos,Polopenze,"12890,00"
Filerimos,R133,2017-06-05,2017-06-12,Brno,Rhodos,All inclusive,"13950,00"
Filerimos,R133,2017-06-06,2017-06-13,Brno,Rhodos,All inclusive,"18990,00"
