Dates,Destination,InviaCode,Operator,MealType,Price,Hotel,Airport,Minute
21.5. - 31.5.,Rhodos,52988,Electra Tours,All Inclusive,20 550 Kč,Sunshine Rhodes,Praha,FM
21.5. - 3.6.,Rhodos,52988,Electra Tours,All Inclusive,24 650 Kč,Sunshine Rhodes,Praha,FM
25.5. - 31.5.,Rhodos,52988,Electra Tours,All Inclusive,15 590 Kč,Sunshine Rhodes,Praha,FM
25.5. - 3.6.,Rhodos,52988,Electra Tours,All Inclusive,19 750 Kč,Sunshine Rhodes,Praha,FM
25.5. - 8.6.,Rhodos,52988,Electra Tours,All Inclusive,28 390 Kč,Sunshine Rhodes,Praha,FM
1.6. - 4.6.,Rhodos,52988,Electra Tours,All Inclusive,12 890 Kč,Sunshine Rhodes,Praha,FM
2.6. - 9.6.,Rhodos,52988,Electra Tours,All Inclusive,19 390 Kč,Sunshine Rhodes,Brno,FM
3.6. - 10.6.,Rhodos,52988,Electra Tours,All Inclusive,18 490 Kč,Sunshine Rhodes,Praha,FM
5.6. - 12.6.,Rhodos,52988,Electra Tours,All Inclusive,19 390 Kč,Sunshine Rhodes,Brno,FM
6.6. - 13.6.,Rhodos,52988,Electra Tours,All Inclusive,18 850 Kč,Sunshine Rhodes,Brno,FM
21.5. - 31.5.,Rhodos,7965,Electra Tours,All Inclusive,15 890 Kč,Labranda Blue Bay Beach,Praha,FM
21.5. - 3.6.,Rhodos,7965,Electra Tours,All Inclusive,19 350 Kč,Labranda Blue Bay Beach,Praha,FM
25.5. - 31.5.,Rhodos,7965,Electra Tours,All Inclusive,12 790 Kč,Labranda Blue Bay Beach,Praha,FM
25.5. - 3.6.,Rhodos,7965,Electra Tours,All Inclusive,15 890 Kč,Labranda Blue Bay Beach,Praha,FM
25.5. - 8.6.,Rhodos,7965,Electra Tours,All Inclusive,21 390 Kč,Labranda Blue Bay Beach,Praha,FM
1.6. - 15.6.,Rhodos,7965,Electra Tours,All Inclusive,22 550 Kč,Labranda Blue Bay Beach,Praha,FM
2.6. - 9.6.,Rhodos,7965,Electra Tours,All Inclusive,15 190 Kč,Labranda Blue Bay Beach,Brno,FM
2.6. - 16.6.,Rhodos,7965,Electra Tours,All Inclusive,22 850 Kč,Labranda Blue Bay Beach,Brno,FM
3.6. - 10.6.,Rhodos,7965,Electra Tours,All Inclusive,14 590 Kč,Labranda Blue Bay Beach,Praha,FM
4.6. - 18.6.,Rhodos,7965,Electra Tours,All Inclusive,23 390 Kč,Labranda Blue Bay Beach,Praha,FM
19.6. - 26.6.,Korfu,27669,Electra Tours,All Inclusive,26 650 Kč,Mitsis Roda Beach Resort & Spa,Brno,FM
8.7. - 15.7.,Korfu,27669,Electra Tours,All Inclusive,30 850 Kč,Mitsis Roda Beach Resort & Spa,Praha,FM
8.7. - 19.7.,Korfu,27669,Electra Tours,All Inclusive,44 590 Kč,Mitsis Roda Beach Resort & Spa,Praha,FM
9.7. - 23.7.,Korfu,27669,Electra Tours,All Inclusive,53 750 Kč,Mitsis Roda Beach Resort & Spa,Praha,FM
12.7. - 23.7.,Korfu,27669,Electra Tours,All Inclusive,44 590 Kč,Mitsis Roda Beach Resort & Spa,Praha,FM
15.7. - 22.7.,Korfu,27669,Electra Tours,All Inclusive,30 850 Kč,Mitsis Roda Beach Resort & Spa,Praha,FM
31.8. - 7.9.,Korfu,27669,Electra Tours,All Inclusive,25 950 Kč,Mitsis Roda Beach Resort & Spa,Brno,FM
31.8. - 10.9.,Korfu,27669,Electra Tours,All Inclusive,34 290 Kč,Mitsis Roda Beach Resort & Spa,Praha,FM
2.9. - 9.9.,Korfu,27669,Electra Tours,All Inclusive,25 850 Kč,Mitsis Roda Beach Resort & Spa,Praha,FM
3.9. - 13.9.,Korfu,27669,Electra Tours,All Inclusive,33 890 Kč,Mitsis Roda Beach Resort & Spa,Praha,FM
2.6. - 9.6.,Rhodos,8583,Electra Tours,All Inclusive,18 790 Kč,Lutania Beach,Brno,FM
5.6. - 12.6.,Rhodos,8583,Electra Tours,All Inclusive,19 150 Kč,Lutania Beach,Brno,FM
6.6. - 13.6.,Rhodos,8583,Electra Tours,All Inclusive,18 850 Kč,Lutania Beach,Brno,FM
7.6. - 11.6.,Rhodos,8583,Electra Tours,All Inclusive,14 250 Kč,Lutania Beach,Praha,Last minute
27.7. - 30.7.,Rhodos,8583,Electra Tours,All Inclusive,14 750 Kč,Lutania Beach,Praha,Last minute
2.8. - 6.8.,Rhodos,8583,Electra Tours,All Inclusive,16 650 Kč,Lutania Beach,Praha,Last minute
20.8. - 31.8.,Rhodos,8583,Electra Tours,All Inclusive,29 850 Kč,Lutania Beach,Praha,FM
22.8. - 29.8.,Rhodos,8583,Electra Tours,All Inclusive,22 850 Kč,Lutania Beach,Brno,FM
24.8. - 27.8.,Rhodos,8583,Electra Tours,All Inclusive,14 590 Kč,Lutania Beach,Praha,Last minute
4.10. - 11.10.,Rhodos,8583,Electra Tours,All Inclusive,13 690 Kč,Lutania Beach,Praha,FM
5.6. - 12.6.,Korfu,46475,Electra Tours,All Inclusive,14 950 Kč,Summertime Apartments,Brno,FM
8.6. - 15.6.,Korfu,46475,Electra Tours,All Inclusive,14 950 Kč,Summertime Apartments,Brno,FM
10.6. - 17.6.,Korfu,46475,Electra Tours,All Inclusive,14 450 Kč,Summertime Apartments,Praha,FM
11.6. - 22.6.,Korfu,46475,Electra Tours,All Inclusive,25 750 Kč,Summertime Apartments,Praha,FM
11.6. - 25.6.,Korfu,46475,Electra Tours,All Inclusive,30 390 Kč,Summertime Apartments,Praha,FM
12.6. - 19.6.,Korfu,46475,Electra Tours,All Inclusive,15 090 Kč,Summertime Apartments,Brno,FM
14.6. - 25.6.,Korfu,46475,Electra Tours,All Inclusive,26 050 Kč,Summertime Apartments,Praha,FM
15.6. - 22.6.,Korfu,46475,Electra Tours,All Inclusive,19 890 Kč,Summertime Apartments,Brno,FM
17.6. - 24.6.,Korfu,46475,Electra Tours,All Inclusive,20 150 Kč,Summertime Apartments,Praha,FM
18.6. - 2.7.,Korfu,46475,Electra Tours,All Inclusive,31 490 Kč,Summertime Apartments,Praha,FM
21.5. - 4.6.,Kréta,36829,Electra Tours,All Inclusive,24 290 Kč,Dessole Dolphin Bay Resort,Praha,FM
24.5. - 4.6.,Kréta,36829,Electra Tours,All Inclusive,21 790 Kč,Dessole Dolphin Bay Resort,Praha,FM
28.5. - 4.6.,Kréta,36829,Electra Tours,All Inclusive,16 490 Kč,Dessole Dolphin Bay Resort,Praha,FM
