Dates,Price,Destination,InviaCode,Operator,MealType
"
							21.5. - 28.5.
							(8 dní)
						",14290,Kreta,36829,Electra Tours,All Inclusive
"
							28.5. - 4.6.
							(8 dní)
						",16990,Kreta,36829,Electra Tours,All Inclusive
"
							1.6. - 4.6.
							(4 dny)
						",11850,Kreta,36829,Electra Tours,All Inclusive
"
							7.5. - 14.5.
							(8 dní)
						",13226,Kreta,8986,Exim Tours,All Inclusive
"
							7.5. - 21.5.
							(15 dní)
						",17778,Kreta,8986,Exim Tours,All Inclusive
"
							13.5. - 20.5.
							(8 dní)
						",11890,Kreta,8986,Pantour,All Inclusive
"
							13.5. - 20.5.
							(8 dní)
						",10790,Kreta,103281,Pantour,All Inclusive
"
							16.5. - 26.5.
							(11 dní)
						",13890,Kreta,103281,Pantour,All Inclusive
"
							19.5. - 2.6.
							(15 dní)
						",15890,Kreta,103281,Pantour,All Inclusive
"
							23.4. - 30.4.
							(8 dní)
						",11060,Kreta,8397,Fischer 1 - cestovní kancelář,Polopenze
"
							23.4. - 30.4.
							(8 dní)
						",13990,Kreta,8397,Fischer 1 - cestovní kancelář,All Inclusive
"
							30.4. - 7.5.
							(8 dní)
						",13990,Kreta,8397,Fischer 1 - cestovní kancelář,All Inclusive
"
							7.5. - 14.5.
							(8 dní)
						",8990,Kreta,8182,Fischer 3 - spec.produkt,Snídaně
"
							7.5. - 14.5.
							(8 dní)
						",9590,Kreta,8182,Fischer 3 - spec.produkt,Polopenze
"
							7.5. - 14.5.
							(8 dní)
						",10700,Kreta,8182,Fischer 3 - spec.produkt,All Inclusive
"
							30.4. - 14.5.
							(15 dní)
						",20690,Kreta,21275,Exim Tours,All Inclusive
"
							7.5. - 21.5.
							(15 dní)
						",20690,Kreta,21275,Exim Tours,All Inclusive
"
							14.5. - 28.5.
							(15 dní)
						",20390,Kreta,21275,Exim Tours,All Inclusive
"
							7.5. - 14.5.
							(8 dní)
						",15690,Kreta,8148,Exim Tours,All Inclusive
"
							7.5. - 21.5.
							(15 dní)
						",22490,Kreta,8148,Exim Tours,All Inclusive
"
							13.5. - 20.5.
							(8 dní)
						",12390,Kreta,8148,Pantour,All Inclusive
"
							28.5. - 4.6.
							(8 dní)
						",12790,Kreta,8438,Exim Tours,Polopenze
"
							28.5. - 11.6.
							(15 dní)
						",17290,Kreta,8438,Exim Tours,Polopenze
"
							3.6. - 10.6.
							(8 dní)
						",15090,Kreta,8438,Kartago Tours SK,Polopenze
"
							21.5. - 28.5.
							(8 dní)
						",12650,Kreta,8599,Electra Tours,All Inclusive
"
							27.5. - 3.6.
							(8 dní)
						",11770,Kreta,8599,My Planet (Travel Planet),All Inclusive
