Dates,Destination,InviaCode,Operator,MealType,Price,Hotel,Airport,Minute
"21.5. - 31.5.
							(11 dní)",Rhodos,52988,Electra Tours,All Inclusive,20 550 Kč,Sunshine Rhodes,Letecky - Praha,FM
"21.5. - 3.6.
							(14 dní)",Rhodos,52988,Electra Tours,All Inclusive,24 650 Kč,Sunshine Rhodes,Letecky - Praha,FM
"25.5. - 31.5.
							(7 dní)",Rhodos,52988,Electra Tours,All Inclusive,15 590 Kč,Sunshine Rhodes,Letecky - Praha,FM
"25.5. - 3.6.
							(10 dní)",Rhodos,52988,Electra Tours,All Inclusive,19 750 Kč,Sunshine Rhodes,Letecky - Praha,FM
"1.6. - 4.6.
							(4 dny)",Rhodos,52988,Electra Tours,All Inclusive,12 890 Kč,Sunshine Rhodes,Letecky - Praha,FM
"3.6. - 10.6.
							(8 dní)",Rhodos,52988,Electra Tours,All Inclusive,18 490 Kč,Sunshine Rhodes,Letecky - Praha,FM
"6.6. - 13.6.
							(8 dní)",Rhodos,52988,Electra Tours,All Inclusive,18 850 Kč,Sunshine Rhodes,Letecky - Brno,FM
"7.6. - 11.6.
							(5 dní)",Rhodos,52988,Electra Tours,All Inclusive,14 350 Kč,Sunshine Rhodes,Letecky - Praha,Last minute
"10.6. - 17.6.
							(8 dní)",Rhodos,52988,Electra Tours,All Inclusive,23 590 Kč,Sunshine Rhodes,Letecky - Praha,FM
"29.6. - 2.7.
							(4 dny)",Rhodos,52988,Electra Tours,All Inclusive,13 490 Kč,Sunshine Rhodes,Letecky - Praha,FM
"10.8. - 13.8.
							(4 dny)",Rhodos,7981,Electra Tours,All Inclusive,15 750 Kč,Blue Sea Beach Resort,Letecky - Praha,Last minute
"10.8. - 20.8.
							(11 dní)",Rhodos,7981,Electra Tours,All Inclusive,32 550 Kč,Blue Sea Beach Resort,Letecky - Praha,FM
"12.8. - 19.8.
							(8 dní)",Rhodos,7981,Electra Tours,All Inclusive,25 750 Kč,Blue Sea Beach Resort,Letecky - Praha,FM
"12.8. - 23.8.
							(12 dní)",Rhodos,7981,Electra Tours,All Inclusive,33 650 Kč,Blue Sea Beach Resort,Letecky - Praha,FM
"15.8. - 22.8.
							(8 dní)",Rhodos,7981,Electra Tours,All Inclusive,24 550 Kč,Blue Sea Beach Resort,Letecky - Brno,FM
"16.8. - 20.8.
							(5 dní)",Rhodos,7981,Electra Tours,All Inclusive,17 850 Kč,Blue Sea Beach Resort,Letecky - Praha,Last minute
"19.8. - 26.8.
							(8 dní)",Rhodos,7981,Electra Tours,All Inclusive,23 390 Kč,Blue Sea Beach Resort,Letecky - Praha,FM
