Dates,Price,Destination,HotelName,InviaCode,Operator,MealType
"30.9. - 7.10.
							(8 dní)",15090,Corfu,Alkyon,21090,Inex,Polopenze
"29.9. - 6.10.
							(8 dní)",9639,Corfu,Summertime Apartments,46475,Solartour SK,All Inclusive
"30.9. - 7.10.
							(8 dní)",17206,Corfu,Mitsis Roda Beach Resort & Spa,27669,Exim Tours,All Inclusive
"29.9. - 6.10.
							(8 dní)",24390,Corfu,Aquis Sandy Beach,29107,Snail Travel Int.,All Inclusive
"29.9. - 8.10.
							(10 dní)",26890,Corfu,Aquis Sandy Beach,29107,Snail Travel Int.,All Inclusive
"30.9. - 7.10.
							(8 dní)",21990,Corfu,Aquis Sandy Beach,29107,Inex,All Inclusive
"30.9. - 7.10.
							(8 dní)",17206,Corfu,Elea Beach,8119,Exim Tours,All Inclusive
"30.9. - 7.10.
							(8 dní)",18190,Corfu,Elea Beach,8119,Inex,Polopenze
"30.9. - 7.10.
							(8 dní)",16390,Corfu,Livadi Nafsika,8555,Inex,Polopenze
"29.9. - 6.10.
							(8 dní)",15062,Corfu,Sunshine Corfu & Spa,34393,Solartour SK,All Inclusive
"30.9. - 7.10.
							(8 dní)",21990,Corfu,Sunshine Corfu & Spa,34393,Inex,All Inclusive
"29.9. - 6.10.
							(8 dní)",11240,Corfu,Golden Sands,8240,Solartour SK,All Inclusive
"16.9. - 23.9.
							(8 dní)",12190,Corfu,Alkyon,21090,Datour,Polopenze
"16.9. - 23.9.
							(8 dní)",14390,Corfu,Alkyon,21090,Electra Tours,All Inclusive
"15.9. - 22.9.
							(8 dní)",12673,Corfu,Summertime Apartments,46475,Solartour SK,All Inclusive
"16.9. - 23.9.
							(8 dní)",11390,Corfu,Summertime Apartments,46475,Pantour,All Inclusive
"16.9. - 23.9.
							(8 dní)",16356,Corfu,Angela Beach,21653,Exim Tours,All Inclusive
"16.9. - 23.9.
							(8 dní)",22501,Corfu,Mitsis Roda Beach Resort & Spa,27669,Exim Tours,All Inclusive
"15.9. - 22.9.
							(8 dní)",27990,Corfu,Aquis Sandy Beach,29107,Snail Travel Int.,All Inclusive
"15.9. - 24.9.
							(10 dní)",31690,Corfu,Aquis Sandy Beach,29107,Snail Travel Int.,All Inclusive
"16.9. - 23.9.
							(8 dní)",19980,Corfu,Aquis Sandy Beach,29107,Eti Slovensko SK,All Inclusive
"16.9. - 23.9.
							(8 dní)",12061,Corfu,Sea Bird,9060,Exim Tours,Polopenze
"2.9. - 9.9.
							(8 dní)",12690,Corfu,Alkyon,21090,Datour,Polopenze
"16.9. - 23.9.
							(8 dní)",12250,Corfu,Sea Bird,9060,Electra Tours,Snídaně
"16.9. - 23.9.
							(8 dní)",20990,Corfu,Elea Beach,8119,Inex,Polopenze
"16.9. - 23.9.
							(8 dní)",15990,Corfu,Ipsos Beach,8381,Pantour,All Inclusive
"16.9. - 23.9.
							(8 dní)",13490,Corfu,Ipsos Beach,8381,,Polopenze
"16.9. - 23.9.
							(8 dní)",15050,Corfu,Ipsos Beach,8381,Pantour,Snídaně
"2.9. - 9.9.
							(8 dní)",15390,Corfu,Alkyon,21090,Electra Tours,All Inclusive
"1.9. - 8.9.
							(8 dní)",16270,Corfu,Summertime Apartments,46475,Solartour SK,All Inclusive
"2.9. - 9.9.
							(8 dní)",12490,Corfu,Summertime Apartments,46475,Pantour,All Inclusive
"2.9. - 9.9.
							(8 dní)",24676,Corfu,Mitsis Roda Beach Resort & Spa,27669,Exim Tours,All Inclusive
"1.9. - 8.9.
							(8 dní)",29490,Corfu,Aquis Sandy Beach,29107,Snail Travel Int.,All Inclusive
"1.9. - 10.9.
							(10 dní)",34690,Corfu,Aquis Sandy Beach,29107,Snail Travel Int.,All Inclusive
"2.9. - 9.9.
							(8 dní)",22200,Corfu,Aquis Sandy Beach,29107,Eti Slovensko SK,All Inclusive
"2.9. - 9.9.
							(8 dní)",12350,Corfu,Sea Bird,9060,Electra Tours,Snídaně
"9.9. - 16.9.
							(8 dní)",12390,Corfu,Alkyon,21090,Datour,Polopenze
"2.9. - 9.9.
							(8 dní)",13850,Corfu,Sea Bird,9060,Electra Tours,Polopenze
"2.9. - 9.9.
							(8 dní)",22116,Corfu,Elea Beach,8119,Exim Tours,All Inclusive
"2.9. - 9.9.
							(8 dní)",22090,Corfu,Elea Beach,8119,Inex,Polopenze
"2.9. - 9.9.
							(8 dní)",15990,Corfu,Ipsos Beach,8381,Pantour,All Inclusive
"2.9. - 9.9.
							(8 dní)",13490,Corfu,Ipsos Beach,8381,,Polopenze
"2.9. - 9.9.
							(8 dní)",14850,Corfu,Ipsos Beach,8381,Pantour,Snídaně
"2.9. - 9.9.
							(8 dní)",15990,Corfu,Livadi Nafsika,8555,Electra Tours,Polopenze
"2.9. - 9.9.
							(8 dní)",16190,Corfu,Livadi Nafsika,8555,Pantour,All Inclusive
"9.9. - 16.9.
							(8 dní)",15390,Corfu,Alkyon,21090,Electra Tours,All Inclusive
"8.9. - 15.9.
							(8 dní)",16439,Corfu,Summertime Apartments,46475,Solartour SK,All Inclusive
