Dates,Price,Destination,HotelName,InviaCode,Operator,MealType
"2.6. - 9.6.
							(8 dní)",11790,Kreta,Blue Sky Beach,103281,Pantour,All Inclusive
"3.6. - 10.6.
							(8 dní)",12590,Kreta,Blue Sky Beach,103281,,All Inclusive
"4.6. - 11.6.
							(8 dní)",11790,Kreta,Blue Sky Beach,103281,Pantour,All Inclusive
"3.6. - 10.6.
							(8 dní)",16917,Kreta,Dessole Dolphin Bay Resort,36829,Kartago Tours SK,All Inclusive
"3.6. - 10.6.
							(8 dní)",15631,Kreta,Kavros Beach,21275,Bulgariatour,Polopenze
"3.6. - 10.6.
							(8 dní)",16551,Kreta,Kavros Beach,21275,Kartago Tours SK,All Inclusive
"3.6. - 10.6.
							(8 dní)",18291,Kreta,Kavros Beach,21275,Bulgariatour,Light All inclusive
"3.6. - 10.6.
							(8 dní)",17990,Kreta,Jo-an Beach,8397,Inex,Polopenze
"4.6. - 11.6.
							(8 dní)",18490,Kreta,Jo-an Beach,8397,Inex,Polopenze
"2.6. - 9.6.
							(8 dní)",9290,Kreta,Fereniki,8182,Pantour,Snídaně
"2.6. - 9.6.
							(8 dní)",10570,Kreta,Fereniki,8182,,All Inclusive
"2.6. - 9.6.
							(8 dní)",9890,Kreta,Fereniki,8182,Pantour,Polopenze
"2.6. - 9.6.
							(8 dní)",12490,Kreta,Eri Beach,8148,Pantour,All Inclusive
"3.6. - 10.6.
							(8 dní)",12590,Kreta,Eri Beach,8148,,All Inclusive
"4.6. - 11.6.
							(8 dní)",12490,Kreta,Eri Beach,8148,Pantour,All Inclusive
"2.6. - 9.6.
							(8 dní)",13470,Kreta,Gortyna,8248,Fischer,All Inclusive
"2.6. - 9.6.
							(8 dní)",10970,Kreta,Gortyna,8248,Fischer,Polopenze
"3.6. - 10.6.
							(8 dní)",13470,Kreta,Gortyna,8248,Fischer,All Inclusive
"3.6. - 10.6.
							(8 dní)",17928,Kreta,Malia Bay,8599,Hydrotour SK,All Inclusive
"1.10. - 8.10.
							(8 dní)",15941,Kreta,Dessole Dolphin Bay Resort,36829,Exim Tours,All Inclusive
"30.9. - 7.10.
							(8 dní)",11090,Kreta,Blue Sky Beach,103281,Pantour,All Inclusive
"30.9. - 7.10.
							(8 dní)",11690,Kreta,Rethymno Village,8986,Pantour,All Inclusive
"1.10. - 8.10.
							(8 dní)",13190,Kreta,Rethymno Village,8986,,All Inclusive
"30.9. - 7.10.
							(8 dní)",18291,Kreta,Kavros Beach,21275,Bulgariatour,Light All inclusive
"30.9. - 7.10.
							(8 dní)",18291,Kreta,Kavros Beach,21275,Bulgariatour,All Inclusive
"30.9. - 7.10.
							(8 dní)",15631,Kreta,Kavros Beach,21275,Bulgariatour,Polopenze
"30.9. - 7.10.
							(8 dní)",15190,Kreta,Jo-an Beach,8397,Inex,Polopenze
"1.10. - 8.10.
							(8 dní)",12690,Kreta,Jo-an Beach,8397,Blue Style,Polopenze
"1.10. - 8.10.
							(8 dní)",14690,Kreta,Jo-an Beach,8397,Blue Style,All Inclusive
"30.9. - 7.10.
							(8 dní)",10460,Kreta,Fereniki,8182,My Planet (Travel Planet),All Inclusive
"30.9. - 7.10.
							(8 dní)",9590,Kreta,Fereniki,8182,Pantour,Snídaně
"30.9. - 7.10.
							(8 dní)",9480,Kreta,Fereniki,8182,,Polopenze
"30.9. - 7.10.
							(8 dní)",12790,Kreta,Eri Beach,8148,Pantour,All Inclusive
"1.10. - 8.10.
							(8 dní)",15290,Kreta,Eri Beach,8148,,All Inclusive
"30.9. - 7.10.
							(8 dní)",11100,Kreta,Gortyna,8248,Fischer,Polopenze
"30.9. - 7.10.
							(8 dní)",14100,Kreta,Gortyna,8248,Fischer,All Inclusive
"1.10. - 8.10.
							(8 dní)",13990,Kreta,Gortyna,8248,Fischer,All Inclusive
"1.9. - 8.9.
							(8 dní)",13190,Kreta,Blue Sky Beach,103281,Pantour,All Inclusive
"2.9. - 9.9.
							(8 dní)",13390,Kreta,Blue Sky Beach,103281,,All Inclusive
"3.9. - 10.9.
							(8 dní)",13790,Kreta,Blue Sky Beach,103281,Pantour,All Inclusive
"2.9. - 9.9.
							(8 dní)",21902,Kreta,Dessole Dolphin Bay Resort,36829,Koala Tours SK,Ultra All inclusive
"2.9. - 9.9.
							(8 dní)",19165,Kreta,Dessole Dolphin Bay Resort,36829,Kartago Tours SK,All Inclusive
"3.9. - 10.9.
							(8 dní)",21750,Kreta,Dessole Dolphin Bay Resort,36829,Electra Tours,All Inclusive
"1.9. - 8.9.
							(8 dní)",16541,Kreta,Kavros Beach,21275,Exim Tours,All Inclusive
"2.9. - 9.9.
							(8 dní)",17338,Kreta,Kavros Beach,21275,Kartago Tours SK,All Inclusive
"2.9. - 9.9.
							(8 dní)",19671,Kreta,Kavros Beach,21275,Bulgariatour,Light All inclusive
"2.9. - 9.9.
							(8 dní)",21990,Kreta,Jo-an Beach,8397,Inex,Polopenze
"3.9. - 10.9.
							(8 dní)",21990,Kreta,Jo-an Beach,8397,Inex,Polopenze
"1.9. - 8.9.
							(8 dní)",11670,Kreta,Fereniki,8182,Pantour,Polopenze
"9.9. - 16.9.
							(8 dní)",21902,Kreta,Dessole Dolphin Bay Resort,36829,Koala Tours SK,Ultra All inclusive
"1.9. - 8.9.
							(8 dní)",12470,Kreta,Fereniki,8182,,All Inclusive
"1.9. - 8.9.
							(8 dní)",11170,Kreta,Fereniki,8182,Pantour,Snídaně
"1.9. - 8.9.
							(8 dní)",14390,Kreta,Eri Beach,8148,Pantour,All Inclusive
"2.9. - 9.9.
							(8 dní)",14590,Kreta,Eri Beach,8148,,All Inclusive
"3.9. - 10.9.
							(8 dní)",14990,Kreta,Eri Beach,8148,Pantour,All Inclusive
"1.9. - 8.9.
							(8 dní)",15760,Kreta,Gortyna,8248,Fischer,All Inclusive
"1.9. - 8.9.
							(8 dní)",12760,Kreta,Gortyna,8248,Fischer,Polopenze
"2.9. - 9.9.
							(8 dní)",15760,Kreta,Gortyna,8248,Fischer,All Inclusive
"2.9. - 9.9.
							(8 dní)",19193,Kreta,Malia Bay,8599,Hydrotour SK,All Inclusive
"9.9. - 16.9.
							(8 dní)",19165,Kreta,Dessole Dolphin Bay Resort,36829,Kartago Tours SK,All Inclusive
"10.9. - 17.9.
							(8 dní)",19141,Kreta,Dessole Dolphin Bay Resort,36829,Exim Tours,All Inclusive
