Dates,Price,Destination,HotelName,InviaCode,Operator,MealType
"30.9. - 6.10.
							(7 dní)",13790,Zakynthos,Astir Palace,32025,Electra Tours,Polopenze
"30.9. - 6.10.
							(7 dní)",11990,Zakynthos,Astir Palace,32025,Electra Tours,Snídaně
"30.9. - 6.10.
							(7 dní)",15990,Zakynthos,Astir Palace,32025,Electra Tours,All Inclusive
"30.9. - 6.10.
							(7 dní)",12190,Zakynthos,Gloria Maris,8233,Electra Tours,Snídaně
"30.9. - 6.10.
							(7 dní)",12890,Zakynthos,Gloria Maris,8233,Electra Tours,Polopenze
"30.9. - 6.10.
							(7 dní)",14890,Zakynthos,Admiral,21281,Electra Tours,All Inclusive
"30.9. - 6.10.
							(7 dní)",9990,Zakynthos,Letsos,8541,Electra Tours,Snídaně
"30.9. - 6.10.
							(7 dní)",13790,Zakynthos,Zante Imperial,8567,Electra Tours,All Inclusive
"30.9. - 6.10.
							(7 dní)",14150,Zakynthos,Majestic Spa,29372,Electra Tours,All Inclusive
"30.9. - 6.10.
							(7 dní)",13550,Zakynthos,Astir Beach,7903,Electra Tours,Polopenze
"30.9. - 6.10.
							(7 dní)",15550,Zakynthos,Astir Beach,7903,Electra Tours,All Inclusive
"30.9. - 6.10.
							(7 dní)",11850,Zakynthos,Astir Beach,7903,Electra Tours,Snídaně
"30.9. - 6.10.
							(7 dní)",13090,Zakynthos,Denise Beach,84315,Electra Tours,Polopenze
"30.9. - 6.10.
							(7 dní)",11350,Zakynthos,Denise Beach,84315,Electra Tours,Snídaně
"30.9. - 6.10.
							(7 dní)",10750,Zakynthos,Denise Beach,84315,Electra Tours,Bez stravy
"18.8. - 25.8.
							(8 dní)",16983,Zakynthos,Paradise Beach,8829,Brenna,Polopenze
"18.8. - 25.8.
							(8 dní)",14103,Zakynthos,Paradise Beach,8829,,Snídaně
"18.8. - 25.8.
							(8 dní)",20611,Zakynthos,Astir Palace,32025,Exim Tours,All Inclusive
"20.8. - 27.8.
							(8 dní)",16440,Zakynthos,Astir Palace,32025,My Planet (Travel Planet),Snídaně
"20.8. - 27.8.
							(8 dní)",20980,Zakynthos,Astir Palace,32025,My Planet (Travel Planet),All Inclusive
"18.8. - 25.8.
							(8 dní)",14910,Zakynthos,Gloria Maris,8233,Fischer,Polopenze
"19.8. - 26.8.
							(8 dní)",17390,Zakynthos,Gloria Maris,8233,Blue Style,Polopenze
"19.8. - 26.8.
							(8 dní)",18350,Zakynthos,Gloria Maris,8233,Electra Tours,Snídaně
"18.8. - 25.8.
							(8 dní)",21111,Zakynthos,Admiral,21281,Brenna,All Inclusive
"20.8. - 27.8.
							(8 dní)",24931,Zakynthos,Admiral,21281,,All Inclusive
"20.8. - 27.8.
							(8 dní)",12930,Zakynthos,Letsos,8541,My Planet (Travel Planet),Polopenze
"20.8. - 27.8.
							(8 dní)",11400,Zakynthos,Letsos,8541,My Planet (Travel Planet),Snídaně
"20.8. - 27.8.
							(8 dní)",12240,Zakynthos,Letsos,8541,My Planet (Travel Planet),Bez stravy
"18.8. - 25.8.
							(8 dní)",19912,Zakynthos,Montreal,8691,Firo Tour,All Inclusive
"20.8. - 27.8.
							(8 dní)",21334,Zakynthos,Montreal,8691,Firo-tour SK,All Inclusive
"18.8. - 25.8.
							(8 dní)",23021,Zakynthos,Strofades beach,9128,Alexandria,All Inclusive
"20.8. - 27.8.
							(8 dní)",23021,Zakynthos,Strofades beach,9128,Alexandria,All Inclusive
"18.8. - 25.8.
							(8 dní)",19771,Zakynthos,Planos Beach,22305,Firo Tour,All Inclusive
"19.8. - 26.8.
							(8 dní)",16350,Zakynthos,Planos Beach,22305,Electra Tours,All Inclusive
"15.9. - 22.9.
							(8 dní)",12266,Zakynthos,Paradise Beach,8829,Exim Tours,Snídaně
"15.9. - 22.9.
							(8 dní)",15351,Zakynthos,Paradise Beach,8829,Brenna,Polopenze
"15.9. - 22.9.
							(8 dní)",18440,Zakynthos,Astir Palace,32025,Fischer,All Inclusive
"15.9. - 22.9.
							(8 dní)",16440,Zakynthos,Astir Palace,32025,Fischer,Polopenze
"15.9. - 22.9.
							(8 dní)",13840,Zakynthos,Astir Palace,32025,Fischer,Snídaně
"15.9. - 22.9.
							(8 dní)",13980,Zakynthos,Gloria Maris,8233,Fischer,Polopenze
"16.9. - 23.9.
							(8 dní)",14090,Zakynthos,Gloria Maris,8233,Blue Style,Polopenze
"17.9. - 24.9.
							(8 dní)",13090,Zakynthos,Gloria Maris,8233,Pantour,Polopenze
"15.9. - 22.9.
							(8 dní)",18051,Zakynthos,Admiral,21281,Firo Tour,All Inclusive
"16.9. - 23.9.
							(8 dní)",19490,Zakynthos,Admiral,21281,Electra Tours,All Inclusive
"17.9. - 24.9.
							(8 dní)",19086,Zakynthos,Admiral,21281,Firo-tour SK,All Inclusive
"16.9. - 23.9.
							(8 dní)",10950,Zakynthos,Letsos,8541,Electra Tours,Snídaně
"17.9. - 24.9.
							(8 dní)",11970,Zakynthos,Letsos,8541,My Planet (Travel Planet),Polopenze
"17.9. - 24.9.
							(8 dní)",10260,Zakynthos,Letsos,8541,My Planet (Travel Planet),Bez stravy
"15.9. - 22.9.
							(8 dní)",16991,Zakynthos,Montreal,8691,Firo Tour,All Inclusive
"17.9. - 24.9.
							(8 dní)",18187,Zakynthos,Montreal,8691,Firo-tour SK,All Inclusive
"15.9. - 22.9.
							(8 dní)",13719,Zakynthos,Astoria,43146,Brenna,Polopenze
"15.9. - 22.9.
							(8 dní)",19497,Zakynthos,Strofades beach,9128,Alexandria,All Inclusive
"17.9. - 24.9.
							(8 dní)",19497,Zakynthos,Strofades beach,9128,Alexandria,All Inclusive
"8.9. - 15.9.
							(8 dní)",12266,Zakynthos,Paradise Beach,8829,Exim Tours,Snídaně
"8.9. - 15.9.
							(8 dní)",16023,Zakynthos,Paradise Beach,8829,Brenna,Polopenze
"8.9. - 15.9.
							(8 dní)",19040,Zakynthos,Astir Palace,32025,Fischer,All Inclusive
"8.9. - 15.9.
							(8 dní)",16880,Zakynthos,Astir Palace,32025,Fischer,Polopenze
"8.9. - 15.9.
							(8 dní)",14440,Zakynthos,Astir Palace,32025,Fischer,Snídaně
"8.9. - 15.9.
							(8 dní)",14080,Zakynthos,Gloria Maris,8233,Fischer,Polopenze
"9.9. - 16.9.
							(8 dní)",14090,Zakynthos,Gloria Maris,8233,Blue Style,Polopenze
"9.9. - 16.9.
							(8 dní)",15950,Zakynthos,Gloria Maris,8233,Electra Tours,Snídaně
"8.9. - 15.9.
							(8 dní)",18911,Zakynthos,Admiral,21281,Firo Tour,All Inclusive
"9.9. - 16.9.
							(8 dní)",19490,Zakynthos,Admiral,21281,Electra Tours,All Inclusive
"10.9. - 17.9.
							(8 dní)",20435,Zakynthos,Admiral,21281,Firo-tour SK,All Inclusive
"9.9. - 16.9.
							(8 dní)",11450,Zakynthos,Letsos,8541,Electra Tours,Snídaně
"10.9. - 17.9.
							(8 dní)",12270,Zakynthos,Letsos,8541,My Planet (Travel Planet),Polopenze
"10.9. - 17.9.
							(8 dní)",10750,Zakynthos,Letsos,8541,My Planet (Travel Planet),Snídaně
"8.9. - 15.9.
							(8 dní)",18266,Zakynthos,Montreal,8691,Firo Tour,All Inclusive
"10.9. - 17.9.
							(8 dní)",19086,Zakynthos,Montreal,8691,Firo-tour SK,All Inclusive
"8.9. - 15.9.
							(8 dní)",22081,Zakynthos,Strofades beach,9128,Alexandria,All Inclusive
"10.9. - 17.9.
							(8 dní)",22081,Zakynthos,Strofades beach,9128,Alexandria,All Inclusive
"8.9. - 15.9.
							(8 dní)",18051,Zakynthos,Planos Beach,22305,Firo Tour,All Inclusive
"9.9. - 16.9.
							(8 dní)",14990,Zakynthos,Planos Beach,22305,Electra Tours,All Inclusive
"25.8. - 1.9.
							(8 dní)",13866,Zakynthos,Paradise Beach,8829,Exim Tours,Snídaně
"25.8. - 1.9.
							(8 dní)",16983,Zakynthos,Paradise Beach,8829,Brenna,Polopenze
"25.8. - 1.9.
							(8 dní)",19666,Zakynthos,Astir Palace,32025,Exim Tours,All Inclusive
"25.8. - 1.9.
							(8 dní)",17980,Zakynthos,Astir Palace,32025,Fischer,Polopenze
"25.8. - 1.9.
							(8 dní)",15380,Zakynthos,Astir Palace,32025,Fischer,Snídaně
"25.8. - 1.9.
							(8 dní)",16290,Zakynthos,Gloria Maris,8233,Pantour,Polopenze
"26.8. - 2.9.
							(8 dní)",17250,Zakynthos,Gloria Maris,8233,,Snídaně
"26.8. - 2.9.
							(8 dní)",18090,Zakynthos,Gloria Maris,8233,Electra Tours,Polopenze
"25.8. - 1.9.
							(8 dní)",21061,Zakynthos,Admiral,21281,Firo Tour,All Inclusive
"27.8. - 3.9.
							(8 dní)",24931,Zakynthos,Admiral,21281,Firo-tour SK,All Inclusive
"27.8. - 3.9.
							(8 dní)",12680,Zakynthos,Letsos,8541,My Planet (Travel Planet),Polopenze
"27.8. - 3.9.
							(8 dní)",10730,Zakynthos,Letsos,8541,My Planet (Travel Planet),Bez stravy
"27.8. - 3.9.
							(8 dní)",11160,Zakynthos,Letsos,8541,My Planet (Travel Planet),Snídaně
"25.8. - 1.9.
							(8 dní)",19497,Zakynthos,Montreal,8691,Firo Tour,All Inclusive
"27.8. - 3.9.
							(8 dní)",21334,Zakynthos,Montreal,8691,Firo-tour SK,All Inclusive
"25.8. - 1.9.
							(8 dní)",14871,Zakynthos,Astoria,43146,Brenna,Polopenze
"25.8. - 1.9.
							(8 dní)",23021,Zakynthos,Strofades beach,9128,Alexandria,All Inclusive
"27.8. - 3.9.
							(8 dní)",20817,Zakynthos,Strofades beach,9128,Alexandria,All Inclusive
"1.9. - 8.9.
							(8 dní)",12076,Zakynthos,Paradise Beach,8829,Exim Tours,Snídaně
"1.9. - 8.9.
							(8 dní)",16023,Zakynthos,Paradise Beach,8829,Brenna,Polopenze
"1.9. - 8.9.
							(8 dní)",19480,Zakynthos,Astir Palace,32025,Fischer,All Inclusive
"1.9. - 8.9.
							(8 dní)",17380,Zakynthos,Astir Palace,32025,Fischer,Polopenze
"1.9. - 8.9.
							(8 dní)",14880,Zakynthos,Astir Palace,32025,Fischer,Snídaně
"1.9. - 8.9.
							(8 dní)",14890,Zakynthos,Gloria Maris,8233,Pantour,Polopenze
"2.9. - 9.9.
							(8 dní)",15890,Zakynthos,Gloria Maris,8233,,Polopenze
"2.9. - 9.9.
							(8 dní)",16550,Zakynthos,Gloria Maris,8233,Blue Style,Snídaně
"1.9. - 8.9.
							(8 dní)",20921,Zakynthos,Admiral,21281,Firo Tour,All Inclusive
"2.9. - 9.9.
							(8 dní)",19490,Zakynthos,Admiral,21281,Electra Tours,All Inclusive
"3.9. - 10.9.
							(8 dní)",21334,Zakynthos,Admiral,21281,Firo-tour SK,All Inclusive
"2.9. - 9.9.
							(8 dní)",11550,Zakynthos,Letsos,8541,Electra Tours,Snídaně
"3.9. - 10.9.
							(8 dní)",11080,Zakynthos,Letsos,8541,My Planet (Travel Planet),Snídaně
"3.9. - 10.9.
							(8 dní)",10640,Zakynthos,Letsos,8541,My Planet (Travel Planet),Bez stravy
"1.9. - 8.9.
							(8 dní)",18266,Zakynthos,Montreal,8691,Firo Tour,All Inclusive
"3.9. - 10.9.
							(8 dní)",20435,Zakynthos,Montreal,8691,Firo-tour SK,All Inclusive
"1.9. - 8.9.
							(8 dní)",22081,Zakynthos,Strofades beach,9128,Alexandria,All Inclusive
"3.9. - 10.9.
							(8 dní)",19967,Zakynthos,Strofades beach,9128,Alexandria,All Inclusive
"1.9. - 8.9.
							(8 dní)",18261,Zakynthos,Planos Beach,22305,Firo Tour,All Inclusive
"2.9. - 9.9.
							(8 dní)",14790,Zakynthos,Planos Beach,22305,Electra Tours,All Inclusive
