Dates,Price,Destination,HotelName,InviaCode,Operator,MealType
"29.9. - 6.10.
							(8 dní)",19767,Rhodos,Sunshine Rhodes,52988,Brenna,All Inclusive
"29.9. - 8.10.
							(10 dní)",26390,Rhodos,Sunshine Rhodes,52988,,All Inclusive
"30.9. - 7.10.
							(8 dní)",16570,Rhodos,Sunshine Rhodes,52988,Snail Travel Int.,All Inclusive
"29.9. - 6.10.
							(8 dní)",11778,Rhodos,Evi,27706,Čedok,All Inclusive
"30.9. - 7.10.
							(8 dní)",9890,Rhodos,Evi,27706,,All Inclusive
"1.10. - 8.10.
							(8 dní)",11490,Rhodos,Evi,27706,Pantour,All Inclusive
"1.10. - 8.10.
							(8 dní)",14990,Rhodos,Lutania Beach,8583,Blue Style,All Inclusive
"29.9. - 6.10.
							(8 dní)",21351,Rhodos,Labranda Blue Bay Beach,7965,Alexandria,All Inclusive
"30.9. - 7.10.
							(8 dní)",14390,Rhodos,Labranda Blue Bay Beach,7965,Electra Tours,All Inclusive
"1.10. - 8.10.
							(8 dní)",21351,Rhodos,Labranda Blue Bay Beach,7965,Alexandria,All Inclusive
"29.9. - 6.10.
							(8 dní)",13719,Rhodos,Happy Days,29379,Brenna,All Inclusive
"30.9. - 7.10.
							(8 dní)",10290,Rhodos,Happy Days,29379,,Polopenze
"30.9. - 7.10.
							(8 dní)",11690,Rhodos,Happy Days,29379,Pantour,All Inclusive
"29.9. - 6.10.
							(8 dní)",18592,Rhodos,Blue Sea Beach Resort,7981,Čedok,Ultra All inclusive
"30.9. - 7.10.
							(8 dní)",21063,Rhodos,Blue Sea Beach Resort,7981,,All Inclusive
"30.9. - 7.10.
							(8 dní)",22794,Rhodos,Blue Sea Beach Resort,7981,Maxi Reisen,Ultra All inclusive
"29.9. - 6.10.
							(8 dní)",12759,Rhodos,Loutanis,8576,Travel 2002,All Inclusive
"30.9. - 7.10.
							(8 dní)",10890,Rhodos,Loutanis,8576,Pantour,All Inclusive
"29.9. - 6.10.
							(8 dní)",16215,Rhodos,Kamari Beach,21462,Travel 2002,All Inclusive
"30.9. - 7.10.
							(8 dní)",12830,Rhodos,Kamari Beach,21462,My Planet (Travel Planet),All Inclusive
"1.10. - 8.10.
							(8 dní)",12880,Rhodos,Kamari Beach,21462,Fischer,All Inclusive
"1.9. - 8.9.
							(8 dní)",23661,Rhodos,Sunshine Rhodes,52988,Solartour SK,All Inclusive
"1.9. - 9.9.
							(9 dní)",24131,Rhodos,Sunshine Rhodes,52988,Exim Tours,All Inclusive
"1.9. - 10.9.
							(10 dní)",32490,Rhodos,Sunshine Rhodes,52988,Snail Travel Int.,All Inclusive
"1.9. - 8.9.
							(8 dní)",12193,Rhodos,Evi,27706,Čedok,All Inclusive
"2.9. - 9.9.
							(8 dní)",11790,Rhodos,Evi,27706,,All Inclusive
"3.9. - 10.9.
							(8 dní)",13972,Rhodos,Evi,27706,Pantour,All Inclusive
"3.9. - 10.9.
							(8 dní)",24990,Rhodos,Lutania Beach,8583,Blue Style,All Inclusive
"1.9. - 8.9.
							(8 dní)",17282,Rhodos,Labranda Blue Bay Beach,7965,Solartour SK,All Inclusive
